Week;Date;Till;Accounts;Total;Cash;# Cust.;Cash Av Spend;EFTPOS;# Cust.2;Cust # TOTAL;EFTPOS Av $pend;TOTAL Av Spend;Notes;Till Up Down;Reserved column;# of the week;Year;Day of the week;Week + Year;IsCristmas;Fixed
11;7 декабр€ 2007 г.;$1 039,42;$0,00;$0,00;$826,75;42;$19,68;$212,67;7;49;$30,38;$21,21;;$1,30;;49;2007;Fri;2007-49;1;
11;8 декабр€ 2007 г.;$629,39;$0,00;$0,00;$509,35;22;$23,15;$120,04;4;26;$30,01;$24,21;;$0,00;;49;2007;Sat;2007-49;1;
;9 декабр€ 2007 г.;$4 468,24;$3 310,23;$7 778,47;;179;$17,54;$1 353,49;26;205;$47,32;$22,27;$2195.98  for Show Society in account;;;50;2007;Sun;2007-50;1;
12;10 декабр€ 2007 г.;$397,75;$0,00;$0,00;$397,75;21;$18,94;$0,00;0;21;$0,00;$18,94;;;;50;2007;Mon;2007-50;1;
12;11 декабр€ 2007 г.;$746,36;$0,00;$0,00;$514,30;41;$12,54;$232,09;4;45;$58,02;$16,59;;;;50;2007;Tue;2007-50;1;
12;12 декабр€ 2007 г.;$575,35;$0,00;$0,00;$555,35;35;$15,87;$20,00;1;36;$20,00;$15,98;;;;50;2007;Wed;2007-50;1;
12;13 декабр€ 2007 г.;$1 971,86;$0,00;$0,00;$1 144,60;53;$21,60;$827,26;10;63;$82,73;$31,30;;;;50;2007;Thu;2007-50;1;
12;14 декабр€ 2007 г.;$1 348,73;$0,00;$0,00;$1 052,15;37;$28,44;$296,58;8;45;$37,07;$29,97;1094.58 cheque from Laidley Hotel not included in figures.;;;50;2007;Fri;2007-50;1;
12;15 декабр€ 2007 г.;$1 191,28;$0,00;$0,00;$854,70;40;$21,37;$336,58;6;46;$56,10;$25,90;;;;50;2007;Sat;2007-50;1;
;16 декабр€ 2007 г.;$6 231,33;$2 373,44;$8 604,77;;227;$19,79;$1 712,51;29;256;$42,32;$23,11;;;;51;2007;Sun;2007-51;1;
13;17 декабр€ 2007 г.;$917,00;$0,00;$0,00;$414,65;37;$11,21;$502,35;9;46;$55,82;$19,93;;$0,05;;51;2007;Mon;2007-51;1;
13;18 декабр€ 2007 г.;$726,08;$0,00;$0,00;$688,15;46;$14,96;$37,93;2;48;$18,97;$15,13;;-$0,10;;51;2007;Tue;2007-51;1;
13;19 декабр€ 2007 г.;$713,45;$0,00;$0,00;$525,15;30;$17,51;$188,30;5;35;$37,66;$20,38;;-$1,35;;51;2007;Wed;2007-51;1;
13;20 декабр€ 2007 г.;$2 103,36;$0,00;$0,00;$945,75;50;$18,92;$1 157,61;10;60;$115,76;$35,06;;-$7,95;;51;2007;Thu;2007-51;1;
13;21 декабр€ 2007 г.;$1 941,67;$0,00;$0,00;$1 557,50;60;$25,96;$384,17;9;69;$42,69;$28,14;;$0,55;;51;2007;Fri;2007-51;1;
13;22 декабр€ 2007 г.;$2 580,40;$0,00;$0,00;$1 546,10;34;$45,47;$1 034,30;14;48;$73,88;$53,76;;$3,00;;51;2007;Sat;2007-51;1;
;23 декабр€ 2007 г.;$8 981,96;$1 855,10;$10 837,06;;257;$22,34;$3 304,66;49;306;$57,46;$28,73;;;;52;2007;Sun;2007-52;1;
14;24 декабр€ 2007 г.;$2 453,61;$0,00;$0,00;$1 514,30;69;$21,95;$939,31;18;87;$52,18;$28,20;;;;52;2007;Mon;2007-52;1;
14;25 декабр€ 2007 г.;$0,00;$0,00;$0,00;$0,00;0;$0,00;$0,00;0;0;$0,00;$0,00;;;;52;2007;Tue;2007-52;1;
14;26 декабр€ 2007 г.;$0,00;$0,00;$0,00;$0,00;0;$0,00;$0,00;0;0;$0,00;$0,00;;;;52;2007;Wed;2007-52;0;
14;27 декабр€ 2007 г.;$891,53;$0,00;$0,00;$791,50;41;$19,30;$100,03;4;45;$25,01;$19,81;;;;52;2007;Thu;2007-52;0;
14;28 декабр€ 2007 г.;$1 041,87;$0,00;$0,00;$741,90;23;$32,26;$299,97;4;27;$74,99;$38,59;New motherboard on till customer numbers unknown for cash;;;52;2007;Fri;2007-52;0;
14;29 декабр€ 2007 г.;$797,97;$0,00;$0,00;$407,75;24;$16,99;$390,20;3;27;$130,07;$29,55;;;;52;2007;Sat;2007-52;0;
;30 декабр€ 2007 г.;$5 184,98;$1 950,28;$7 135,26;;157;$15,08;$1 729,51;29;186;$47,04;$19,36;;;;53;2007;Sun;2007-53;0;
15;31 декабр€ 2007 г.;$1 160,35;$0,00;$0,00;$818,80;51;$16,05;$341,55;9;60;$37,95;$19,34;;-$4,85;;53;2007;Mon;2007-53;0;
15;1 €нвар€ 2008 г.;$0,00;$0,00;$0,00;$0,00;0;$0,00;$0,00;0;0;$0,00;$0,00;;;;1;2008;Tue;2008-1;0;
15;2 €нвар€ 2008 г.;$858,12;$0,00;$0,00;$720,95;47;$15,34;$137,17;5;52;$27,43;$16,50;;-$1,95;;1;2008;Wed;2008-1;0;
15;3 €нвар€ 2008 г.;$414,18;$0,00;$0,00;$337,45;29;$11,64;$76,73;3;32;$25,58;$12,94;;$0,00;;1;2008;Thu;2008-1;0;
15;4 €нвар€ 2008 г.;$1 825,37;$0,00;$0,00;$762,55;42;$18,16;$1 062,82;9;51;$118,09;$35,79;Hotel Laidley Cheque $1151.79 not counted in day's takings;-$0,05;;1;2008;Fri;2008-1;0;
15;5 €нвар€ 2008 г.;$859,90;$0,00;$0,00;$660,43;35;$18,87;$199,47;3;38;$66,49;$22,63;;$0,05;;1;2008;Sat;2008-1;0;
;6 €нвар€ 2008 г.;$5 117,92;$1 625,04;$6 742,96;;204;$13,34;$1 817,74;29;233;$45,92;$17,87;;;;2;2008;Sun;2008-2;0;
16;7 €нвар€ 2008 г.;$496,25;$0,00;$0,00;$314,40;34;$9,25;$181,85;4;38;$45,46;$13,06;;$0,00;;2;2008;Mon;2008-2;0;
16;8 €нвар€ 2008 г.;$453,64;$0,00;$0,00;$442,25;26;$17,01;$11,39;1;27;$11,39;$16,80;;-$1,75;;2;2008;Tue;2008-2;0;
16;9 €нвар€ 2008 г.;$841,55;$0,00;$0,00;$562,30;35;$16,07;$279,25;8;43;$34,91;$19,57;Mulgowie Hall's cheque $240 not included in figures;$0,00;;2;2008;Wed;2008-2;0;
16;10 €нвар€ 2008 г.;$669,52;$0,00;$0,00;$545,35;43;$12,68;$124,17;6;49;$20,70;$13,66;;$0,55;;2;2008;Thu;2008-2;0;
16;11 €нвар€ 2008 г.;$1 582,87;$0,00;$0,00;$1 099,05;68;$16,16;$483,82;4;72;$120,96;$21,98;Exchange hotel cheque not counted in day's takings;-$2,00;;2;2008;Fri;2008-2;0;
16;12 €нвар€ 2008 г.;$529,45;$0,00;$0,00;$529,45;31;$17,08;$0,00;0;31;$0,00;$17,08;;$0,00;;2;2008;Sat;2008-2;0;
;13 €нвар€ 2008 г.;$4 573,28;$1 872,69;$6 445,97;;237;$14,71;$1 080,48;23;260;$38,90;$17,03;;;;3;2008;Sun;2008-3;0;
17;14 €нвар€ 2008 г.;$589,37;$0,00;$0,00;$461,65;40;$11,54;$127,72;5;45;$25,54;$13,10;;$0,00;;3;2008;Mon;2008-3;0;
17;15 €нвар€ 2008 г.;$638,92;$0,00;$0,00;$571,85;45;$12,71;$67,07;4;49;$16,77;$13,04;;$0,20;;3;2008;Tue;2008-3;0;
17;16 €нвар€ 2008 г.;$1 039,48;$0,00;$0,00;$796,75;42;$18,97;$242,73;6;48;$40,46;$21,66;;-$1,85;;3;2008;Wed;2008-3;0;
17;17 €нвар€ 2008 г.;$930,93;$0,00;$0,00;$783,10;50;$15,66;$147,83;2;52;$73,92;$17,90;;-$2,05;;3;2008;Thu;2008-3;0;
17;18 €нвар€ 2008 г.;$1 178,48;$0,00;$0,00;$1 044,15;52;$20,08;$134,33;3;55;$44,78;$21,43;;-$0,05;;3;2008;Fri;2008-3;0;
